*key;ru;en;fr
*profile;
	Профиль;
	Profile;
	Profil;
*status;
	Статус;
	Status;
	Statut;
*inventory;
	Инвентарь;
	Inventory;
	Inventaire;
*skills;
	Скиллы;
	Skills;
	Compétences;
*byid;
	По индексу;
	By index;
	By index;
*bytype;
	По типу;
	By type;
	By type;
*byrarity;
	По редкости;
	By rarity;
	By rarity;
*victory;
	Победа;
	Victory;
	victory;
*lose;
	Поражение;
	Lose;
	lose;
*currency;
	Валюта;
	Currency;
	Monnaie;
*consumable;
	Расходуемое;
	Consumable;
	Consommable;
*resource;
	Ресурс;
	Resource;
	Ressource;
*equipment;
	Снаряжение;
	Equipment;
	Équipement;
*common;
	Обычный;
	Common;
	Commun;
*uncommon;
	Необычный;
	Uncommon;
	Inhabituel;
*rare;
	Редкий;
	Rare;
	Rare;
*epic;
	Эпический;
	Epic;
	Épique;
*legendary;
	Легендарный;
	Legendary;
	Légendaire;
*mythic;
	Мифический;
	Mythic;
	Mythique;
*unique;
	Уникальный;
	Unique;
	Unique;
*type;
	Тип;
	Type;
	Type;
*rarity;
	Редкость;
	Rarity;
	Rareté;
*buy_price;
	Покупка;
	Buy;
	Achat;
*sell_price;
	Продажа;
	Sell;
	Vente;
*type_fmt;
	Тип: {0};
	Type: {0};
	Type : {0};
*rarity_fmt;
	Редкость: {0};
	Rarity: {0};
	Rareté : {0};
*buy_price_fmt;
	Покупка: {0};
	Buy: {0};
	Achat : {0};
*sell_price_fmt;
	Продажа: {0};
	Sell: {0};
	Vente : {0};
