*key;ru;en;fr
*scene_player_shelter;
	Убежище;
	Shelter;
	Abri;
*scene_monster_cave;
	Пещера монстров;
	Monster Cave;
	Grotte de monstres;
*scene_adventure_guild;
	Гильдия приключенцев;
	Adventure Guild;
	Guilde des aventuriers;
*guild_registrar_title;
	Реестр Гильдии;
	Guild Registry;
	Registre de la Guilde;
*guild_task_board_title;
	Доска задач Гильдии;
	Guild Task Board;
	Tableau des tâches de la Guilde;
*player_bed;
	Кровать;
	Bed;
	Bed;
*player_food_table;
	Стол;
	Food Table;
	Table à manger;
*player_campfire;
	Костер;
	Campfire;
	Feu de camp;
*player_workbench;
	Верстак;
	Workbench;
	Établi;
*player_stash;
	Склад;
	Stash;
	Stockage;
