*key;ru;en;fr
*new_game;
	Новая игра;
	New Game;
	Nouvelle partie;
*load_game;
	Загрузить игру;
	Load Game;
	Charger la partie;
*exit;
		Выход;
		Exit;
		Quitter;
*version;
	Версия 0.0.344;
	Version 0.0.344;
	Version 0.0.344;
*settings;
	Настройки;
	Settings;
	Paramètres;
*resume;
	Возобновить;
	Resume;
	Resume;
*mainmenu;
	Главное меню;
	Main menu;
	Main menu;
*save_game;
	Сохранить игру;
	Save game;
	Save game;
*warning;
	ПРЕДУПРЕЖДЕНИЕ;
	WARNING;
	AVERTISSEMENT;
*disclamer_01;
	Перед началом игры пожалуйста, прочитайте следующую информацию;
	Before starting the game, please read the following information;
	Avant de commencer le jeu, veuillez lire les informations suivantes;
*disclamer_02;
	В игре содержится контент для взрослой аудитории.;
	The game contains content for an adult audience.;
	Le jeu contient du contenu pour un public adulte.;
*disclamer_03;
	В ИГРЕ МОГУТ ПРИСУТСТВОВАТЬ;
	THE GAME MAY CONTAIN;
	LE JEU PEUT CONTENIR;
*disclamer_04;
	Данный контент может быть неприятен или неприемлем для некоторых игроков.;
	This content may be disturbing or unacceptable to some players.;
	Ce contenu peut être dérangeant ou inacceptable pour certains joueurs.;
*disclamer_05;
	Пожалуйста, убедитесь, что вам исполнилось 18 лет, прежде чем играть в эту игру.;
	Please make sure you are 18 years old before playing this game.;
	Veuillez vous assurer que vous avez 18 ans avant de jouer à ce jeu.;
*disclamer_06;
	ВАМ УЖЕ ЕСТЬ 18 ЛЕТ?;
	ARE YOU ALREADY 18 YEARS OLD?;
	AVEZ-VOUS DÉJÀ 18 ANS?;
*disclamer_07;
	Для продолжения необходимо подтвердить возраст.;
	To continue, you need to confirm your age.;
	Pour continuer, vous devez confirmer votre âge.;
*disclamer_button_success;
	МНЕ 18 И БОЛЬШЕ;
	I AM 18 OR OLDER;
	J'AI 18 ANS OU PLUS;
*disclamer_button_fail;
	ОТМЕНА;
	CANCEL;
	ANNULER;
*disclamer_info_01;
	СЦЕНЫ НАСИЛИЯ;
	VIOLENCE SCENES;
	SCÈNES DE VIOLENCE;
*disclamer_info_01_des;
	Сражения, ранения и жестокость;
	Battles, injuries, and cruelty;
	Combats, blessures et cruauté;
*disclamer_info_02;
	НЕНОРМАТИВНАЯ ЛЕКСИКА;
	STRONG LANGUAGE;
	LANGAGE FORT;
*disclamer_info_02_des;
	Грубые и нецензурные выражения;
	Coarse and obscene expressions;
	Expressions grossières et obscènes;
*disclamer_info_03;
	ЭРОТИЧЕСКИЙ КОНТЕНТ;
	EROTIC CONTENT;
	CONTENU ÉROTIQUE;
*disclamer_info_03_des;
	Частичная нагота и откровенные сцены;
	Partial nudity and explicit scenes;
	Nudité partielle et scènes explicites;
*disclamer_info_04;
	УПОТРЕБЛЕНИЕ АЛКОГОЛЯ;
	ALCOHOL USE;
	UTILISATION D'ALCOOL;
*disclamer_info_04_des;
	Упоминание или изображение алкоголя;
	Mention or depiction of alcohol;
	Mention ou représentation de l'alcool;
*disclamer_info_05;
	ТЕМЫ СМЕРТИ;
	DEATH THEMES;
	THÈMES DE LA MORT;
*disclamer_info_05_des;
	Смерть персонажей и мрачные темы;
	Death of characters and dark themes;
	La mort de personnages et des thèmes sombres;
*disclamer_info_06;
	ПСИХОЛОГИЧЕСКИЕ ТЕМЫ;
	PSYCHOLOGICAL THEMES;
	THÈMES PSYCHOLOGIQUES;
*disclamer_info_06_des;
	Тревожный контент, манипуляции, травмы;
	Anxiety-inducing content, manipulation, trauma;
	Contenu anxiogène, manipulation, traumatisme;
